pool,project,symbol,chain,tvlUsd,apy,apyBase,apyReward,apyMean30d,sigma,mu,stablecoin,ilRisk,exposure,outlier,prediction_class,prediction_prob_pct,poolMeta
7ba15e64-acde-48f1-b717-4e424783c904,solv-basis-trading,WBTC,Arbitrum,1070032,0.0,0.0,0.0,0.0,0.0,0.0,False,no,single,False,,,SolvBTC
e1174fe8-0705-4f83-9690-7c3a3983e6ac,uniswap-v4,ETH-USDT,Arbitrum,1015062,4.67133,4.67133,,5.14857,0.28059,6.98069,False,yes,multi,False,Stable/Up,73.0,0.05%
88f03137-9910-4a79-a8bb-29c93d631bd5,dolomite,GM,Arbitrum,1009269,0.0,0.0,,0.0,0.0,0.0,False,no,single,False,,,
2aef7e76-432a-4142-94c9-93130f0158fe,beefy,MIM-USDT0,Arbitrum,1008007,8.42353,,,10.1725,0.28961,13.58776,True,no,multi,False,Stable/Up,86.0,Mim
7aad812f-4ed1-42ea-8c8f-654b5ef49d25,morpho-blue,GTUSDCP,Arbitrum,1002891,3.24639,3.24639,0.0,4.0908,0.05224,3.74327,True,no,single,False,Stable/Up,71.0,
c63d4fcd-d5b4-43a2-81d3-38e7493fe291,curve-dex,USDC-USDSM,Arbitrum,999699,0.01,0.01,0.0,0.01699,0.00106,0.00678,True,no,multi,False,Stable/Up,65.0,
be1d7863-b6a4-4ca9-a615-c338e208c15e,uniswap-v4,SYRUPUSDC-USDC,Arbitrum,996389,0.0,0.0,,0.78575,0.08382,0.62874,True,no,multi,False,,,0.08%
cb3e197e-52ed-41ad-b134-d256fad5ce42,gmx-v2-perps,WBTC.B-USDC,Arbitrum,977761,4.89002,4.89002,,7.4979,0.64661,10.63728,False,yes,multi,False,Stable/Up,64.0,
44f437aa-baa7-48a7-b403-10bc0ca24500,uniswap-v3,MOR-WETH,Arbitrum,964627,2.99725,2.99725,,5.00704,0.27511,3.63524,False,yes,multi,False,Stable/Up,55.00000000000001,0.3%
f91555bf-2cb4-412f-96e5-f2806751f95e,morpho-blue,WETH,Arbitrum,964045,0.0,,,0.0,0.0,0.0,False,no,single,False,,,
